Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe	< 0.01	2,344 K	7,068 K	2572	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,836 K	6,860 K	3172	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,816 K	14,288 K	4420	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,420 K	5,888 K	3980	Host Process for Windows Services	Microsoft Corporation
 lsass.exe	0.39	7,140 K	18,844 K	668	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,264 K	3,152 K	808		
csrss.exe	0.01	2,020 K	5,268 K	528		
winlogon.exe		2,556 K	11,720 K	616		
 fontdrvhost.exe		8,180 K	13,048 K	816		
 dwm.exe	0.22	55,480 K	100,400 K	376		
explorer.exe	0.17	71,876 K	166,808 K	4264	Windows Explorer	Microsoft Corporation
 SecurityHealthSystray.exe		1,708 K	8,704 K	7144	Windows Security notification icon	Microsoft Corporation
 VBoxTray.exe	< 0.01	2,544 K	10,360 K	6332	VirtualBox Guest Additions Tray Application	Oracle Corporation
 Taskmgr.exe	0.21	21,892 K	45,044 K	5580		
 chrome.exe	0.01	183,172 K	248,272 K	5612	Google Chrome	Google LLC
  chrome.exe		1,628 K	6,376 K	7224	Google Chrome	Google LLC
  chrome.exe		1,940 K	8,732 K	7264	Google Chrome	Google LLC
  chrome.exe	0.01	96,968 K	65,672 K	7364	Google Chrome	Google LLC
  chrome.exe		16,984 K	31,856 K	7376	Google Chrome	Google LLC
  chrome.exe		196,112 K	211,196 K	7492	Google Chrome	Google LLC
  chrome.exe		47,636 K	67,196 K	7716	Google Chrome	Google LLC
  chrome.exe	< 0.01	76,492 K	108,116 K	5900	Google Chrome	Google LLC
  chrome.exe	< 0.01	69,680 K	108,564 K	776	Google Chrome	Google LLC
  chrome.exe		11,832 K	19,816 K	1408	Google Chrome	Google LLC
  WinRAR.exe	< 0.01	8,736 K	35,300 K	5572	WinRAR archiver	Alexander Roshal
   procexp64.exe	11.78	30,244 K	64,408 K	5924	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
 mmc.exe		44,440 K	18,696 K	3792		
 kleopatra.exe		42,632 K	74,240 K	6864		
GoogleCrashHandler.exe		1,716 K	212 K	2948		
GoogleCrashHandler64.exe		1,712 K	256 K	4148		
gpg-agent.exe		1,924 K	8,352 K	420	GnuPG’s private key daemon	The GnuPG Project

